epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.021,1.30151,1.98094,1.56993,0.67531,0.31489,0.33391,0.18423,1.55773,2.89171,1.97043,0.000408163,0.000408163,0.000408163
2,1464.23,1.35784,1.61586,1.56172,0.40577,0.17761,0.1,0.04934,1.97425,9.04885,2.77041,0.000808498,0.000808498,0.000808498
3,2135.83,1.46141,1.65356,1.64016,0.44604,0.21076,0.14312,0.06774,2.01422,8.09271,2.52702,0.00119233,0.00119233,0.00119233
4,2748.87,1.44684,1.57199,1.64004,0.41416,0.22108,0.13453,0.05654,2.12953,4.55883,2.83684,0.00117575,0.00117575,0.00117575
5,3389.14,1.42322,1.57263,1.62044,0.57619,0.33647,0.29885,0.15095,1.74039,3.40061,2.15705,0.001151,0.001151,0.001151
6,4104.65,1.34972,1.43495,1.55588,0.60403,0.32372,0.29367,0.14827,1.72396,2.68169,2.17707,0.00112625,0.00112625,0.00112625
7,4777.35,1.31456,1.39981,1.539,0.72021,0.37941,0.47132,0.27309,1.55639,1.8883,1.88687,0.0011015,0.0011015,0.0011015
8,5394.36,1.27203,1.27503,1.49235,0.70218,0.43029,0.43872,0.2413,1.5353,1.76249,1.83005,0.00107675,0.00107675,0.00107675
9,6033.45,1.30758,1.30518,1.51932,0.77152,0.45208,0.57143,0.29338,1.49452,1.60248,1.8707,0.001052,0.001052,0.001052
10,6774.12,1.2596,1.23488,1.48246,0.81101,0.44863,0.51818,0.31783,1.41231,1.5119,1.77592,0.00102725,0.00102725,0.00102725
11,7439.07,1.22017,1.20222,1.4502,0.80217,0.51537,0.57167,0.36117,1.30779,1.361,1.66214,0.0010025,0.0010025,0.0010025
12,8054.07,1.20936,1.20353,1.45821,0.73745,0.41076,0.48759,0.29761,1.46575,1.7381,1.79122,0.00097775,0.00097775,0.00097775
13,8697.64,1.18713,1.12058,1.42823,0.76025,0.41199,0.46875,0.28613,1.40618,1.59904,1.71988,0.000953,0.000953,0.000953
14,9403.94,1.15117,1.05631,1.41128,0.80962,0.46685,0.59554,0.38528,1.38246,1.48196,1.70633,0.00092825,0.00092825,0.00092825
15,10080.4,1.14326,1.04247,1.39808,0.80186,0.55232,0.61605,0.3892,1.30383,1.24467,1.65217,0.0009035,0.0009035,0.0009035
16,10685.6,1.09072,1.02756,1.34743,0.83456,0.55734,0.64214,0.4191,1.25155,1.19801,1.61492,0.00087875,0.00087875,0.00087875
17,11331.3,1.09682,1.02195,1.35828,0.8053,0.48698,0.54805,0.33924,1.28574,1.4814,1.63263,0.000854,0.000854,0.000854
18,12041.2,1.0739,0.97457,1.34941,0.78788,0.53657,0.60781,0.37939,1.26257,1.33196,1.61927,0.00082925,0.00082925,0.00082925
19,12724.9,1.05545,0.9545,1.34348,0.86391,0.52827,0.60042,0.37937,1.25238,1.20001,1.59182,0.0008045,0.0008045,0.0008045
20,13333.6,1.05409,0.93899,1.3347,0.82511,0.48855,0.60726,0.39964,1.28832,1.33713,1.61866,0.00077975,0.00077975,0.00077975
21,13948.4,1.05358,0.94056,1.34497,0.76997,0.65131,0.66768,0.44639,1.18846,1.13711,1.55847,0.000755,0.000755,0.000755
22,14658.4,1.01604,0.89435,1.32248,0.86283,0.54886,0.60235,0.39149,1.20672,1.16136,1.55984,0.00073025,0.00073025,0.00073025
23,15341.4,1.03158,0.91667,1.32508,0.73129,0.68942,0.7147,0.48071,1.20428,1.04101,1.55262,0.0007055,0.0007055,0.0007055
24,15945.5,1.01085,0.87738,1.30305,0.79513,0.68451,0.73574,0.49534,1.22421,1.05598,1.57205,0.00068075,0.00068075,0.00068075
25,16547.8,1.00581,0.88793,1.30392,0.80506,0.61859,0.65163,0.43273,1.1851,1.07314,1.53461,0.000656,0.000656,0.000656
26,17281.2,0.98522,0.8567,1.28409,0.86533,0.6445,0.79019,0.50458,1.19198,0.99184,1.52031,0.00063125,0.00063125,0.00063125
27,17932.8,0.95822,0.7907,1.27676,0.86384,0.69601,0.76303,0.52356,1.19166,1.05936,1.5406,0.0006065,0.0006065,0.0006065
28,18544.1,0.94958,0.776,1.26307,0.83226,0.65928,0.77716,0.5213,1.16177,1.00725,1.49894,0.00058175,0.00058175,0.00058175
29,19192.8,0.92075,0.77566,1.25145,0.75978,0.73745,0.77609,0.54092,1.13572,0.97747,1.48384,0.000557,0.000557,0.000557
30,19924.9,0.91084,0.76712,1.23364,0.84684,0.67672,0.76225,0.52946,1.16219,1.00335,1.51246,0.00053225,0.00053225,0.00053225
31,20579,0.90431,0.75874,1.23145,0.77785,0.66969,0.73584,0.51454,1.12168,0.96356,1.49086,0.0005075,0.0005075,0.0005075
32,21240.5,0.87858,0.71372,1.20599,0.83142,0.72289,0.81297,0.55822,1.1431,0.98435,1.50944,0.00048275,0.00048275,0.00048275
33,21893.7,0.89509,0.72782,1.22587,0.76511,0.70437,0.75086,0.50451,1.12145,0.91842,1.49343,0.000458,0.000458,0.000458
34,22629.2,0.86988,0.71099,1.20844,0.87237,0.74229,0.81773,0.54548,1.14066,0.97311,1.51878,0.00043325,0.00043325,0.00043325
35,23295.3,0.88474,0.72384,1.22296,0.80504,0.79175,0.8286,0.56256,1.13422,0.90602,1.51358,0.0004085,0.0004085,0.0004085
36,23910.2,0.83862,0.66137,1.17692,0.82936,0.79241,0.83955,0.57977,1.10035,0.907,1.47611,0.00038375,0.00038375,0.00038375
37,24534.8,0.83489,0.66234,1.18758,0.90051,0.77584,0.85251,0.60214,1.09515,0.8355,1.46536,0.000359,0.000359,0.000359
38,25265.6,0.81465,0.65353,1.16999,0.88368,0.71758,0.80095,0.57024,1.09444,0.86484,1.45209,0.00033425,0.00033425,0.00033425
39,25920.3,0.81892,0.66182,1.1796,0.81025,0.71138,0.78329,0.55624,1.08456,0.87759,1.46572,0.0003095,0.0003095,0.0003095
40,26540,0.81666,0.62518,1.16863,0.8568,0.70481,0.78511,0.55047,1.09252,0.90651,1.47896,0.00028475,0.00028475,0.00028475
41,27187.4,0.74635,0.56892,1.1459,0.81458,0.71304,0.77913,0.55972,1.06931,0.86651,1.46077,0.00026,0.00026,0.00026
42,27838.1,0.70308,0.51586,1.12118,0.83045,0.83626,0.84548,0.59825,1.08704,0.82978,1.47441,0.00023525,0.00023525,0.00023525
43,28499,0.68189,0.49854,1.09278,0.89277,0.71479,0.81918,0.57927,1.07443,0.85389,1.46206,0.0002105,0.0002105,0.0002105
44,29143.2,0.68762,0.48693,1.09923,0.93137,0.72629,0.81626,0.58207,1.07595,0.84433,1.45426,0.00018575,0.00018575,0.00018575
45,29777.2,0.66412,0.45728,1.08116,0.83184,0.80453,0.84548,0.60045,1.06928,0.85459,1.45822,0.000161,0.000161,0.000161
46,30430.8,0.64592,0.45158,1.08062,0.88674,0.77174,0.84152,0.60211,1.05208,0.82756,1.4482,0.00013625,0.00013625,0.00013625
47,31085.3,0.62917,0.43125,1.05732,0.91986,0.76778,0.84445,0.61675,1.03965,0.81869,1.43957,0.0001115,0.0001115,0.0001115
48,31697.6,0.613,0.41003,1.0428,0.92853,0.80066,0.87549,0.64214,1.03271,0.80061,1.4362,8.675e-05,8.675e-05,8.675e-05
49,32345.6,0.61519,0.41481,1.05053,0.88972,0.78493,0.85013,0.62258,1.04527,0.82525,1.44356,6.2e-05,6.2e-05,6.2e-05
