epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,777.3,1.23795,1.89473,1.52551,0.5434,0.29194,0.25646,0.14947,1.51433,2.8401,2.07062,0.000408805,0.000408805,0.000408805
2,1507.69,1.39547,1.6653,1.60887,0.61763,0.31621,0.26628,0.12483,1.7551,5.09873,2.57202,0.000809127,0.000809127,0.000809127
3,2229.02,1.4422,1.67069,1.65443,0.25773,0.24701,0.16543,0.07106,2.15745,5.88081,3.06998,0.00119295,0.00119295,0.00119295
4,2948.92,1.44754,1.59924,1.65416,0.25827,0.31307,0.23143,0.10173,1.80297,3.84555,2.27859,0.00117575,0.00117575,0.00117575
5,3634.53,1.40654,1.52345,1.60958,0.36429,0.3615,0.3296,0.17059,1.64306,2.71454,2.12222,0.001151,0.001151,0.001151
6,4352.65,1.38435,1.52284,1.60252,0.67499,0.40129,0.40488,0.22596,1.52792,2.25315,1.88674,0.00112625,0.00112625,0.00112625
7,5083.11,1.28627,1.34938,1.52973,0.71239,0.43695,0.44909,0.24757,1.52013,2.03911,1.91107,0.0011015,0.0011015,0.0011015
8,5781.97,1.28024,1.30316,1.51883,0.75379,0.41599,0.45713,0.25966,1.51153,1.7491,1.88161,0.00107675,0.00107675,0.00107675
9,6446.14,1.23666,1.24353,1.49702,0.78447,0.47367,0.51147,0.3079,1.38258,1.47246,1.72563,0.001052,0.001052,0.001052
10,7162.84,1.23785,1.20525,1.48203,0.74145,0.46676,0.50132,0.29074,1.41155,1.56729,1.75973,0.00102725,0.00102725,0.00102725
11,7861.39,1.18674,1.13808,1.44286,0.74989,0.47027,0.53228,0.31768,1.39391,1.52336,1.73975,0.0010025,0.0010025,0.0010025
12,8560.63,1.18995,1.13242,1.44888,0.81063,0.50065,0.53656,0.33845,1.29302,1.32162,1.65478,0.00097775,0.00097775,0.00097775
13,9234.69,1.16153,1.14532,1.43281,0.8188,0.5152,0.56417,0.36106,1.29999,1.26553,1.64167,0.000953,0.000953,0.000953
